file,status,included_in_snapshot,reason
package.json,M,yes,source/config: live production source or config
src/assets/logo.png,M,yes,source/config: live production source or config
src/components/comparison-page.tsx,M,yes,source/config: live production source or config
src/components/founder-booking.tsx,M,yes,source/config: live production source or config
src/components/home-page.tsx,M,yes,source/config: live production source or config
src/components/host-tools/tools.tsx,M,yes,source/config: live production source or config
src/components/templates/academy-hub.tsx,M,yes,source/config: live production source or config
src/components/templates/activity-city.tsx,M,yes,source/config: live production source or config
src/components/templates/advocacy.tsx,M,yes,source/config: live production source or config
src/components/templates/host-acq-city.tsx,M,yes,source/config: live production source or config
src/components/templates/pool-maintenance.tsx,M,yes,source/config: live production source or config
src/components/templates/swim-instructor-city.tsx,M,yes,source/config: live production source or config
src/lib/activity-city.ts,M,yes,source/config: live production source or config
src/lib/affiliate-coaching-templates.ts,M,yes,source/config: live production source or config
src/lib/email-static/host-drip/01-lower-fees.html,M,yes,source/config: live production source or config
src/lib/email-static/host-drip/05-share-link.html,M,yes,source/config: live production source or config
src/lib/email-static/host-drip/14-whats-next.html,M,yes,source/config: live production source or config
src/lib/email-templates/pool-waitlist-confirmation.tsx,M,yes,source/config: live production source or config
src/lib/email-templates/renter-referral.tsx,M,yes,source/config: live production source or config
src/lib/host-acq-schemas.ts,M,yes,source/config: live production source or config
src/lib/host-acq-variants.ts,M,yes,source/config: live production source or config
src/lib/page-faqs.ts,M,yes,source/config: live production source or config
src/lib/seo-critic.functions.ts,M,yes,source/config: live production source or config
src/lib/seo.ts,M,yes,source/config: live production source or config
src/lib/sitemap.ts,M,yes,source/config: live production source or config
src/routeTree.gen.ts,M,yes,source/config: live production source or config
src/routes/__root.tsx,M,yes,source/config: live production source or config
src/routes/api/public/hooks/gen-host-pages.ts,M,yes,source/config: live production source or config
src/routes/api/public/hooks/host-city-tail-fix.ts,M,yes,source/config: live production source or config
src/routes/jobs[.]xml.ts,M,yes,source/config: live production source or config
src/routes/l.$slug.$id.tsx,M,yes,source/config: live production source or config
src/routes/landing-page.tsx,M,yes,source/config: live production source or config
src/routes/p.$slug.tsx,M,yes,source/config: live production source or config
src/routes/p.about-our-company.tsx,M,yes,source/config: live production source or config
src/routes/p.all-locations.tsx,M,yes,source/config: live production source or config
src/routes/p.author.derek-bowen.tsx,M,yes,source/config: live production source or config
src/routes/p.blog.tsx,M,yes,source/config: live production source or config
src/routes/p.earnings-calculator.tsx,M,yes,source/config: live production source or config
src/routes/p.free-host-tools.tsx,M,yes,source/config: live production source or config
src/routes/p.giggster-vs-pool-rental-near-me-in-{$city}.tsx,M,yes,source/config: live production source or config
src/routes/p.giggster-vs-pool-rental-near-me.tsx,M,yes,source/config: live production source or config
src/routes/p.hosting.tsx,M,yes,source/config: live production source or config
src/routes/p.how-it-works.tsx,M,yes,source/config: live production source or config
src/routes/p.jan.tsx,M,yes,source/config: live production source or config
src/routes/p.lukes-lounge.tsx,M,yes,source/config: live production source or config
src/routes/p.neighbors.tsx,M,yes,source/config: live production source or config
src/routes/p.peerspace-vs-pool-rental-near-me-in-{$city}.tsx,M,yes,source/config: live production source or config
src/routes/p.peerspace-vs-pool-rental-near-me.tsx,M,yes,source/config: live production source or config
src/routes/p.pool-party-rentals.tsx,M,yes,source/config: live production source or config
src/routes/p.pool-pros.$slug.tsx,M,yes,source/config: live production source or config
src/routes/p.pool-rental-app.tsx,M,yes,source/config: live production source or config
src/routes/p.pool-rental-host-fees-compared.tsx,M,yes,source/config: live production source or config
src/routes/p.pool-rental-insurance-explained.tsx,D,yes,source/config: live production source or config
src/routes/p.pool-rental-permits-by-state.tsx,M,yes,source/config: live production source or config
src/routes/p.pool-rentals-{$state}.tsx,M,yes,source/config: live production source or config
src/routes/p.private-pool-rental.tsx,M,yes,source/config: live production source or config
src/routes/p.start-hosting.tsx,M,yes,source/config: live production source or config
src/routes/p.swimply-alternative-vs-pool-rental-near-me.tsx,M,yes,source/config: live production source or config
src/routes/p.waiver-generator.tsx,M,yes,source/config: live production source or config
src/routes/robots[.]txt.ts,M,yes,source/config: live production source or config
src/routes/sitemap-pages-articles[.]xml.ts,M,yes,source/config: live production source or config
src/routes/sitemap-pages-comparisons[.]xml.ts,M,yes,source/config: live production source or config
src/routes/sitemap-pages-courses[.]xml.ts,M,yes,source/config: live production source or config
src/routes/sitemap-static[.]xml.ts,M,yes,source/config: live production source or config
src/routes/sitemap[.]xml.ts,M,yes,source/config: live production source or config
src/server/activity-city-generator.functions.ts,M,yes,source/config: live production source or config
src/server/admin-listing-audit.functions.ts,M,yes,source/config: live production source or config
src/server/admin-pending-actions.functions.ts,M,yes,source/config: live production source or config
src/server/admin-quick-page.functions.ts,M,yes,source/config: live production source or config
src/server/admin-tools.functions.ts,M,yes,source/config: live production source or config
src/server/admin-weapons.functions.ts,M,yes,source/config: live production source or config
src/server/auto-outreach.server.ts,M,yes,source/config: live production source or config
src/server/backfill-content-pages.server.ts,M,yes,source/config: live production source or config
src/server/content-404-log.functions.ts,M,yes,source/config: live production source or config
src/server/home-data.functions.ts,M,yes,source/config: live production source or config
src/server/sms.server.ts,M,yes,source/config: live production source or config
src/server/state-hub.functions.ts,M,yes,source/config: live production source or config
dist-server-bak-20260805-170335/,??,no,build: build-output backup directory
dist.bak-cctld/,??,no,"backup/temp: in-place editing backup, not source"
dist.bak-country/,??,no,"backup/temp: in-place editing backup, not source"
dist.bak-fee15-20260801-081718/,??,no,"backup/temp: in-place editing backup, not source"
dist.bak-feeperm-20260801-073926/,??,no,"backup/temp: in-place editing backup, not source"
dist.bak-herocta-20260801-204439/,??,no,"backup/temp: in-place editing backup, not source"
scripts/approved-redirects.json,??,yes,source/config: live production source or config
scripts/check-dev-hostnames.mjs,??,yes,source/config: live production source or config
scripts/check-emitted-urls.mjs,??,yes,source/config: live production source or config
scripts/check-homepage-cities.mjs,??,yes,source/config: live production source or config
scripts/check-tools-hub.mjs,??,yes,source/config: live production source or config
src/assets/logo.png.bak-763k,??,no,"backup/temp: in-place editing backup, not source"
src/components/comparison-page.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/components/earnings-calculator.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/components/founder-booking.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-fee15-20260801-081611,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-feeperm-20260801-073610,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-noins-20260817-043212,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-quotes-20260909T015503Z,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-quotes2-20260909T020425Z,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-seopush,??,no,"backup/temp: in-place editing backup, not source"
src/components/home-page.tsx.bak-seopush2,??,no,"backup/temp: in-place editing backup, not source"
src/components/host-tools/tools.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/components/live-inventory.tsx,??,yes,source/config: live production source or config
src/components/site-layout.tsx.bak-seopush,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/academy-hub.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/activity-city.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/advocacy.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/advocacy.tsx.bak-feeperm3-20260801-074203,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/generic-page.tsx.bak-herocta-20260801-204439,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/host-acq-city.tsx.bak-fee15b-20260801-081649,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/host-acq-city.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/host-acq-city.tsx.bak-feeperm2-20260801-073926,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/host-acq-city.tsx.bak-feeperm3-20260801-074203,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/host-acq-city.tsx.bak-liveinv,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/host-acq-city.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/pool-maintenance.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/pool-maintenance.tsx.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/pool-maintenance.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/components/templates/tool-placeholder.tsx.bak-feeperm-20260801-073652,??,no,"backup/temp: in-place editing backup, not source"
src/lib/affiliate-coaching-templates.ts.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/lib/affiliate-coaching-templates.ts.bak-ins2,??,no,"backup/temp: in-place editing backup, not source"
src/lib/data/,??,yes,source/config: live production source or config
src/lib/email-static/host-drip/_shared.ts.bak-feeperm-20260801-073302,??,no,"backup/temp: in-place editing backup, not source"
src/lib/email-templates/pool-waitlist-confirmation.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
src/lib/email-templates/renter-referral.tsx.bak-seo-20260902,??,no,"backup/temp: in-place editing backup, not source"
