old_url,evidence,replacement,status,reason
/host-tools/amenity-revenue-guide,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/backyard-event-pricing,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/backyard-income-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/backyard-monetization,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/birthday-party-planner,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/cursos-en-espanol,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/email-sms-campaigns,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/event-profit,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/hoa-pool-rental-defense-kit,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | NOTE: GSC figures below are for the /p/ replacement slug, NOT for this legacy URL; gsc_impressions=22 clicks=0 (snapshot 2026-05-10)",/p/hoa-pool-rental-defense-kit,404,"genuine equivalent exists (/p/hoa-pool-rental-defense-kit) but NO traffic, impression or backlink evidence exists for THIS legacy URL (GSC is keyed by content_pages.slug and holds no /host-tools/ entries); internal link removed, URL left 404"
/host-tools/hoa-risk-checker,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/host-marketing-engine,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/message-board,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/new-host-courses,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-break-even,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-capacity,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-chemical-cost,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-chemical-dose-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-cleaning-schedule,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-cost-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-deck-size-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-earnings,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",/p/earnings-calculator,404,"genuine equivalent exists (/p/earnings-calculator) but NO traffic, impression or backlink evidence exists for THIS legacy URL (GSC is keyed by content_pages.slug and holds no /host-tools/ entries); internal link removed, URL left 404"
/host-tools/pool-evaporation-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-fill-cost-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-guest-agreement,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",/p/waiver-generator,404,"genuine equivalent exists (/p/waiver-generator) but NO traffic, impression or backlink evidence exists for THIS legacy URL (GSC is keyed by content_pages.slug and holds no /host-tools/ entries); internal link removed, URL left 404"
/host-tools/pool-heating-cost,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",/p/pool-heating-cost-calculator,404,"genuine equivalent exists (/p/pool-heating-cost-calculator) but NO traffic, impression or backlink evidence exists for THIS legacy URL (GSC is keyed by content_pages.slug and holds no /host-tools/ entries); internal link removed, URL left 404"
/host-tools/pool-heating-time-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",/p/pool-heating-cost-calculator,404,"genuine equivalent exists (/p/pool-heating-cost-calculator) but NO traffic, impression or backlink evidence exists for THIS legacy URL (GSC is keyed by content_pages.slug and holds no /host-tools/ entries); internal link removed, URL left 404"
/host-tools/pool-host-academy,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-host-checklist,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | NOTE: GSC figures below are for the /p/ replacement slug, NOT for this legacy URL; gsc_impressions=None clicks=None (snapshot 2026-05-10)",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-host-community,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-host-pricing-ai,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-insurance,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-liability-waiver,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",/p/waiver-generator,404,"genuine equivalent exists (/p/waiver-generator) but NO traffic, impression or backlink evidence exists for THIS legacy URL (GSC is keyed by content_pages.slug and holds no /host-tools/ entries); internal link removed, URL left 404"
/host-tools/pool-listing-ai-writer,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-listing-score,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-maintenance-cost,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-party-capacity,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-party-pricing,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
/host-tools/pool-pump-cost-calculator,"route deleted 8eac8996 (lived 2026-05-02..05-08, 6 days) | never emitted in any sitemap (verified across all commits) | no content_pages row; no GSC snapshot entry",(none),404,no equivalent page and no traffic/backlink evidence for this URL; left 404
