url,clicks,impr,pos,city,st,listings_in_city,listings_in_state,proposed,canonical,redirect,action_now,rollback,other_params
"/s?address=Lancaster, PA",3,28,8.07,Lancaster,PA,0,8,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Maine&page=1,2,15,8.73,Maine,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Augusta, GA",2,14,7.79,Augusta,GA,0,5,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Cleveland, OH&page=4",2,13,11.15,Cleveland,OH,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Staten Island, NY",2,12,9.5,Staten Island,NY,0,6,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Johnson City, TN",2,10,3.6,Johnson City,TN,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Ontario, CA&page=1",2,10,9,Ontario,CA,0,33,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=Beaverton, Oregon",2,9,4.67,"Beaverton, Oregon",,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Kentucky,2,9,7.89,Kentucky,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Dover, DE",2,7,5.29,Dover,DE,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Lakeville, MN",2,4,5.25,Lakeville,MN,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=East Providence, RI",2,4,8.25,East Providence,RI,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Portland, OR",1,30,9.3,Portland,OR,0,3,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Worcester, MA",1,26,8.04,Worcester,MA,0,1,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Visalia CA&page=4,1,24,7.38,Visalia CA,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
"/s?address=San Francisco, CA",1,22,9.14,San Francisco,CA,0,33,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Harrisburg, Pennsylvania",1,20,6.95,"Harrisburg, Pennsylvania",,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Corona, CA",1,14,6.86,Corona,CA,0,33,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Pearland, TX",1,14,6.86,Pearland,TX,0,18,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Minnesota,1,14,8.29,Minnesota,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
/s?address=Oceanside CA,1,14,8.93,Oceanside CA,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Madison, Wisconsin",1,13,6.92,"Madison, Wisconsin",,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),
"/s?address=Edmond, OK&page=1",1,12,9.08,Edmond,OK,0,2,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
/s?address=Massachusetts&page=1,1,11,8.64,Massachusetts,,0,0,"(no page — keep /s?address, noindex)",/s (rel=canonical on the parameter form),none,"hold: no inventory in city — keep /s?address (no new page, no redirect, no noindex change)",n/a (nothing changed),Y
