url,city,feature,current_status,gsc_clicks_3mo,gsc_impressions_3mo,ai_feature_impr_3mo,googlebot_req_14d,all_req_14d,matching_pools,matching_indexable,hub_indexable,internal_referer_hits_14d,external_referer_hits_14d,classification,proposed_destination
/public-pools/alabama/birmingham/feature/lap-swimming/,"Birmingham, AL",lap-swimming,301 -> /public-pools/alabama/birmingham/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/alabama/birmingham/
/public-pools/alabama/birmingham/feature/olympic-size/,"Birmingham, AL",olympic-size,301 -> /public-pools/alabama/birmingham/,3,105,0,0,2,1,1,True,0,1,CONSOLIDATE,/public-pools/alabama/birmingham/
/public-pools/alabama/birmingham/feature/splash-pad/,"Birmingham, AL",splash-pad,301 -> /public-pools/alabama/birmingham/,0,0,0,0,2,1,1,True,2,0,CONSOLIDATE,/public-pools/alabama/birmingham/
/public-pools/alabama/birmingham/feature/wave-pool/,"Birmingham, AL",wave-pool,301 -> /public-pools/alabama/birmingham/,7,91,9,1,4,1,1,True,1,0,CONSOLIDATE,/public-pools/alabama/birmingham/
/public-pools/alabama/huntsville/feature/lap-swimming/,"Huntsville, AL",lap-swimming,301 -> /public-pools/alabama/huntsville/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/alabama/huntsville/
/public-pools/alabama/mobile/feature/indoor/,"Mobile, AL",indoor,301 -> /public-pools/alabama/mobile/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/alabama/mobile/
/public-pools/alabama/mobile/feature/lap-swimming/,"Mobile, AL",lap-swimming,301 -> /public-pools/alabama/mobile/,0,0,0,0,1,3,3,True,1,0,CONSOLIDATE,/public-pools/alabama/mobile/
/public-pools/alabama/mobile/feature/olympic-size/,"Mobile, AL",olympic-size,301 -> /public-pools/alabama/mobile/,3,26,0,0,2,1,1,True,1,0,CONSOLIDATE,/public-pools/alabama/mobile/
/public-pools/arizona/avondale/feature/lap-swimming/,"Avondale, AZ",lap-swimming,301 -> /public-pools/arizona/avondale/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/arizona/avondale/
/public-pools/arizona/avondale/feature/splash-pad/,"Avondale, AZ",splash-pad,301 -> /public-pools/arizona/avondale/,0,0,0,0,2,1,1,True,2,0,CONSOLIDATE,/public-pools/arizona/avondale/
/public-pools/arizona/avondale/feature/wave-pool/,"Avondale, AZ",wave-pool,301 -> /public-pools/arizona/avondale/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/avondale/
/public-pools/arizona/buckeye/feature/lap-swimming/,"Buckeye, AZ",lap-swimming,301 -> /public-pools/arizona/buckeye/,0,0,0,0,2,2,2,True,2,0,CONSOLIDATE,/public-pools/arizona/buckeye/
/public-pools/arizona/casa-grande/feature/heated/,"Casa Grande, AZ",heated,301 -> /public-pools/arizona/casa-grande/,0,0,4,1,1,1,1,True,0,0,CONSOLIDATE,/public-pools/arizona/casa-grande/
/public-pools/arizona/casa-grande/feature/indoor/,"Casa Grande, AZ",indoor,301 -> /public-pools/arizona/casa-grande/,2,141,3,0,2,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/casa-grande/
/public-pools/arizona/casa-grande/feature/lap-swimming/,"Casa Grande, AZ",lap-swimming,301 -> /public-pools/arizona/casa-grande/,0,0,0,0,2,2,2,True,1,1,CONSOLIDATE,/public-pools/arizona/casa-grande/
/public-pools/arizona/casa-grande/feature/lazy-river/,"Casa Grande, AZ",lazy-river,301 -> /public-pools/arizona/casa-grande/,0,0,0,4,4,0,0,True,0,0,CONSOLIDATE,/public-pools/arizona/casa-grande/
/public-pools/arizona/casa-grande/feature/wave-pool/,"Casa Grande, AZ",wave-pool,301 -> /public-pools/arizona/casa-grande/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/arizona/casa-grande/
/public-pools/arizona/chandler/feature/heated/,"Chandler, AZ",heated,301 -> /public-pools/arizona/chandler/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/arizona/chandler/
/public-pools/arizona/chandler/feature/indoor/,"Chandler, AZ",indoor,301 -> /public-pools/arizona/chandler/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/arizona/chandler/
/public-pools/arizona/chandler/feature/kiddie-pool/,"Chandler, AZ",kiddie-pool,301 -> /public-pools/arizona/chandler/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/chandler/
/public-pools/arizona/chandler/feature/lap-swimming/,"Chandler, AZ",lap-swimming,301 -> /public-pools/arizona/chandler/,0,0,0,1,1,1,1,True,0,0,RETIRE,/public-pools/arizona/chandler/
/public-pools/arizona/chandler/feature/water-slides/,"Chandler, AZ",water-slides,301 -> /public-pools/arizona/chandler/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/chandler/
/public-pools/arizona/gilbert/feature/kiddie-pool/,"Gilbert, AZ",kiddie-pool,301 -> /public-pools/arizona/gilbert/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/gilbert/
/public-pools/arizona/glendale/feature/heated/,"Glendale, AZ",heated,301 -> /public-pools/arizona/glendale/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/glendale/
/public-pools/arizona/glendale/feature/indoor/,"Glendale, AZ",indoor,301 -> /public-pools/arizona/glendale/,0,0,0,1,1,1,1,True,0,0,RETIRE,/public-pools/arizona/glendale/
/public-pools/arizona/glendale/feature/kiddie-pool/,"Glendale, AZ",kiddie-pool,301 -> /public-pools/arizona/glendale/,0,0,0,3,3,0,0,True,0,0,CONSOLIDATE,/public-pools/arizona/glendale/
/public-pools/arizona/glendale/feature/lap-swimming/,"Glendale, AZ",lap-swimming,301 -> /public-pools/arizona/glendale/,0,0,0,0,2,2,2,True,1,1,CONSOLIDATE,/public-pools/arizona/glendale/
/public-pools/arizona/glendale/feature/lazy-river/,"Glendale, AZ",lazy-river,301 -> /public-pools/arizona/glendale/,0,0,0,3,4,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/glendale/
/public-pools/arizona/glendale/feature/water-slides/,"Glendale, AZ",water-slides,301 -> /public-pools/arizona/glendale/,2,9,0,0,1,1,1,True,0,0,CONSOLIDATE,/public-pools/arizona/glendale/
/public-pools/arizona/goodyear/feature/diving-board/,"Goodyear, AZ",diving-board,301 -> /public-pools/arizona/goodyear/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/arizona/goodyear/
/public-pools/arizona/mesa/feature/olympic-size/,"Mesa, AZ",olympic-size,301 -> /public-pools/arizona/mesa/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/mesa/
/public-pools/arizona/peoria/feature/diving-board/,"Peoria, AZ",diving-board,301 -> /public-pools/arizona/peoria/,0,0,0,0,1,3,3,True,1,0,CONSOLIDATE,/public-pools/arizona/peoria/
/public-pools/arizona/phoenix/feature/lap-swimming/,"Phoenix, AZ",lap-swimming,301 -> /public-pools/arizona/phoenix/,0,0,0,0,2,2,2,True,2,0,CONSOLIDATE,/public-pools/arizona/phoenix/
/public-pools/arizona/queen-creek/feature/diving-board/,"Queen Creek, AZ",diving-board,301 -> /public-pools/arizona/queen-creek/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/arizona/queen-creek/
