url,status_now,score,hits_404log,first_seen,last_seen,gsc_clicks,gsc_impr,ai_impr,googlebot_14d,ext_ref_14d,relevance,content_row_exists,closest_live_page,similarity,classification,proposed_destination,curated_decision,curated_destination,curated_reason
/p/increase-pool-rental-income,404,128.0,128,2026-07-07,2026-09-25,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,REDIRECT,/p/pool-host-pricing-strategy,host revenue topic
/p/ultimate-pool-cleaning-guide,404,112.0,112,2026-07-07,2026-09-25,0,0,0,0,0,off-topic/maintenance,False,/p/blood-in-pool-cleaning-and-safety-guide,0.33,410,,REDIRECT,/p/pool-maintenance,equivalent complete maintenance guide
/p/discovering-the-best-canadian-built-swim-spas-an-in-depth-guide,404,108.0,108,2026-07-09,2026-08-29,0,0,0,0,0,off-topic/maintenance,False,/p/canadian-cities-with-pools,0.14,410,,410,,"off-topic product review, no equivalent"
/p/how-to-start-a-pool-rental-business,404,99.0,99,2026-07-08,2026-09-25,0,0,0,0,0,core,False,/p/swim-instructor-pool-rental,0.4,RESTORE — needs content (Derek/Brandon approval),/p/how-to-start-a-pool-rental-business,REDIRECT,/p/pool-side-hustle-starter-guide-2026,equivalent getting-started guide
/p/make-money-renting-your-pool,404,99.0,99,2026-07-07,2026-09-25,0,0,0,0,0,core,False,/p/make-money,1.0,REDIRECT (equivalent page),/p/make-money,REDIRECT,/p/make-money-renting-out-your-pool,near-identical page
/p/how-to-lower-chlorine-in-a-pool-safely,404,77.0,77,2026-07-07,2026-09-25,0,0,0,0,0,off-topic/maintenance,False,/p/best-chlorine-for-pools,0.33,410,,410,,no chlorine-reduction page; maintenance guide is not specific enough
/p/maximizing-pool-rental-income,404,71.0,71,2026-07-09,2026-09-25,0,0,0,0,0,core,False,/p/taxesforpoolhosts,0.5,REDIRECT (equivalent page),/p/taxesforpoolhosts,REDIRECT,/p/pool-host-pricing-strategy,host revenue topic
/p/pool-rental-insurance,404,70.0,70,2026-07-08,2026-09-25,0,0,0,0,0,core,False,/p/about,0.33,RESTORE — needs content (Derek/Brandon approval) — INSURANCE TOPIC: Derek decides (rule 8),/p/pool-rental-insurance,HOLD — Derek,,insurance topic (hard rule 8)
/p/virgina-beach-virgina-search,404,67.0,67,2026-07-07,2026-09-25,0,0,0,0,0,general,False,/p/myrtle-beach,0.25,410,,REDIRECT,/public-pools/virginia/virginia-beach/,guest search intent; /p/virginia-beach is a host page
/p/how-much-to-rent-my-pool-for,404,62.0,62,2026-07-07,2026-09-25,0,0,0,0,0,core,False,/p/how-much-can-i-rent-my-pool-for,0.6,REDIRECT (equivalent page),/p/how-much-can-i-rent-my-pool-for,REDIRECT,/p/how-much-can-i-rent-my-pool-for,equivalent
